"date","from","to","action_team","notes","edge_label"
"2017-06-22","rights to Lauri Markkanen","Jimmy Butler","Bulls","trade with Timberwolves","On 2017-06-22, Bulls make trade with Timberwolves for rights to Lauri Markkanen, and in exhchange give Jimmy Butler to them."
"2017-06-22","rights to Lauri Markkanen","rights to Justin Patton","Bulls","trade with Timberwolves","On 2017-06-22, Bulls make trade with Timberwolves for rights to Lauri Markkanen, and in exhchange give rights to Justin Patton to them."
"2017-06-22","rights to Dillon Brooks","2018 pick (#46-De'Anthony Melton)","Grizzlies","trade with Rockets","On 2017-06-22, Grizzlies make trade with Rockets for rights to Dillon Brooks, and in exhchange give 2018 pick (#46-De'Anthony Melton) to them."
"2017-06-22","rights to Dwayne Bacon","rights to Frank Jackson","Hornets","trade with Pelicans","On 2017-06-22, Hornets make trade with Pelicans for rights to Dwayne Bacon, and in exhchange give rights to Frank Jackson to them."
"2017-06-22","cash","rights to Frank Jackson","Hornets","trade with Pelicans","On 2017-06-22, Hornets make trade with Pelicans for cash, and in exhchange give rights to Frank Jackson to them."
"2017-06-22","rights to Donovan Mitchell","Trey Lyles","Jazz","trade with Nuggets","On 2017-06-22, Jazz make trade with Nuggets for rights to Donovan Mitchell, and in exhchange give Trey Lyles to them."
"2017-06-22","rights to Donovan Mitchell","rights to Tyler Lydon","Jazz","trade with Nuggets","On 2017-06-22, Jazz make trade with Nuggets for rights to Donovan Mitchell, and in exhchange give rights to Tyler Lydon to them."
"2017-06-22","rights to Tony Bradley","rights to Josh Hart","Jazz","trade with Lakers","On 2017-06-22, Jazz make trade with Lakers for rights to Tony Bradley, and in exhchange give rights to Josh Hart to them."
"2017-06-22","rights to Tony Bradley","rights to Thomas Bryant","Jazz","trade with Lakers","On 2017-06-22, Jazz make trade with Lakers for rights to Tony Bradley, and in exhchange give rights to Thomas Bryant to them."
"2017-06-22","Brook Lopez","D'Angelo Russell","Lakers","trade with Nets","On 2017-06-22, Lakers make trade with Nets for Brook Lopez, and in exhchange give D'Angelo Russell to them."
"2017-06-22","Brook Lopez","Timofey Mozgov","Lakers","trade with Nets","On 2017-06-22, Lakers make trade with Nets for Brook Lopez, and in exhchange give Timofey Mozgov to them."
"2017-06-22","rights to Kyle Kuzma","D'Angelo Russell","Lakers","trade with Nets","On 2017-06-22, Lakers make trade with Nets for rights to Kyle Kuzma, and in exhchange give D'Angelo Russell to them."
"2017-06-22","rights to Kyle Kuzma","Timofey Mozgov","Lakers","trade with Nets","On 2017-06-22, Lakers make trade with Nets for rights to Kyle Kuzma, and in exhchange give Timofey Mozgov to them."
"2017-06-22","rights to Edmond Sumner","cash","Pacers","trade with Pelicans","On 2017-06-22, Pacers make trade with Pelicans for rights to Edmond Sumner, and in exhchange give cash to them."
"2017-06-28","2018 pick (#60-Kostas Antetokounmpo)","Shawn Long","76ers","trade with Rockets","On 2017-06-28, 76ers make trade with Rockets for 2018 pick (#60-Kostas Antetokounmpo), and in exhchange give Shawn Long to them."
"2017-06-28","cash","Shawn Long","76ers","trade with Rockets","On 2017-06-28, 76ers make trade with Rockets for cash, and in exhchange give Shawn Long to them."
"2017-06-28","cash","Tim Quarterman","Blazers","trade with Rockets","On 2017-06-28, Blazers make trade with Rockets for cash, and in exhchange give Tim Quarterman to them."
"2017-06-28","cash","Ryan Kelly","Hawks","trade with Rockets","On 2017-06-28, Hawks make trade with Rockets for cash, and in exhchange give Ryan Kelly to them."
"2017-06-28","cash","DeAndre Liggins","Mavericks","trade with Rockets","On 2017-06-28, Mavericks make trade with Rockets for cash, and in exhchange give DeAndre Liggins to them."
"2017-06-28","cash","Darrun Hilliard","Pistons","trade with Rockets","On 2017-06-28, Pistons make trade with Rockets for cash, and in exhchange give Darrun Hilliard to them."
"2017-06-28","Patrick Beverley","Chris Paul","Clippers","trade with Rockets","On 2017-06-28, Clippers make trade with Rockets for Patrick Beverley, and in exhchange give Chris Paul to them."
"2017-06-28","Sam Dekker","Chris Paul","Clippers","trade with Rockets","On 2017-06-28, Clippers make trade with Rockets for Sam Dekker, and in exhchange give Chris Paul to them."
"2017-06-28","Montrezl Harrell","Chris Paul","Clippers","trade with Rockets","On 2017-06-28, Clippers make trade with Rockets for Montrezl Harrell, and in exhchange give Chris Paul to them."
"2017-06-28","Darrun Hilliard","Chris Paul","Clippers","trade with Rockets","On 2017-06-28, Clippers make trade with Rockets for Darrun Hilliard, and in exhchange give Chris Paul to them."
"2017-06-28","DeAndre Liggins","Chris Paul","Clippers","trade with Rockets","On 2017-06-28, Clippers make trade with Rockets for DeAndre Liggins, and in exhchange give Chris Paul to them."
"2017-06-28","Louis Williams / Lou Williams","Chris Paul","Clippers","trade with Rockets","On 2017-06-28, Clippers make trade with Rockets for Louis Williams / Lou Williams, and in exhchange give Chris Paul to them."
"2017-06-28","Kyle Wiltjer","Chris Paul","Clippers","trade with Rockets","On 2017-06-28, Clippers make trade with Rockets for Kyle Wiltjer, and in exhchange give Chris Paul to them."
"2017-06-28","cash","Chris Paul","Clippers","trade with Rockets","On 2017-06-28, Clippers make trade with Rockets for cash, and in exhchange give Chris Paul to them."
"2017-06-29","cash","Jarrod Uthoff","Mavericks","trade with Rockets","On 2017-06-29, Mavericks make trade with Rockets for cash, and in exhchange give Jarrod Uthoff to them."
"2017-07-06","cash","rights to Sterling Brown","76ers","trade with Bucks","On 2017-07-06, 76ers make trade with Bucks for cash, and in exhchange give rights to Sterling Brown to them."
"2017-07-06","Victor Oladipo","Paul George","Pacers","trade with Thunder","On 2017-07-06, Pacers make trade with Thunder for Victor Oladipo, and in exhchange give Paul George to them."
"2017-07-06","Domantas Sabonis / Domas Sabonis","Paul George","Pacers","trade with Thunder","On 2017-07-06, Pacers make trade with Thunder for Domantas Sabonis / Domas Sabonis, and in exhchange give Paul George to them."
"2017-07-06","Danilo Gallinari","Jamal Crawford","Clippers","3-team trade with Hawks, Nuggets","On 2017-07-06, Clippers make 3-team trade with Hawks, Nuggets for Danilo Gallinari, and in exhchange give Jamal Crawford to them."
"2017-07-06","Danilo Gallinari","Diamond Stone","Clippers","3-team trade with Hawks, Nuggets","On 2017-07-06, Clippers make 3-team trade with Hawks, Nuggets for Danilo Gallinari, and in exhchange give Diamond Stone to them."
"2017-07-06","Danilo Gallinari","cash","Clippers","3-team trade with Hawks, Nuggets","On 2017-07-06, Clippers make 3-team trade with Hawks, Nuggets for Danilo Gallinari, and in exhchange give cash to them."
"2017-07-06","cash","rights to Jawun Evans","76ers","trade with Clippers","On 2017-07-06, 76ers make trade with Clippers for cash, and in exhchange give rights to Jawun Evans to them."
"2017-07-07","Marcus Morris","Avery Bradley","Celtics","trade with Pistons","On 2017-07-07, Celtics make trade with Pistons for Marcus Morris, and in exhchange give Avery Bradley to them."
"2017-07-07","A.J. Hammons","Josh McRoberts","Heat","trade with Mavericks","On 2017-07-07, Heat make trade with Mavericks for A.J. Hammons, and in exhchange give Josh McRoberts to them."
"2017-07-07","A.J. Hammons","cash","Heat","trade with Mavericks","On 2017-07-07, Heat make trade with Mavericks for A.J. Hammons, and in exhchange give cash to them."
