"date","from","to","action_team","notes","edge_label"
"2015-01-05","J.R. Smith","Dion Waiters","Cavaliers","3-team trade with Knicks, Thunder","On 2015-01-05, Cavaliers make 3-team trade with Knicks, Thunder for J.R. Smith, and in exhchange give Dion Waiters to them."
"2015-01-05","J.R. Smith","Lou Amundson","Cavaliers","3-team trade with Knicks, Thunder","On 2015-01-05, Cavaliers make 3-team trade with Knicks, Thunder for J.R. Smith, and in exhchange give Lou Amundson to them."
"2015-01-05","J.R. Smith","Alex Kirk","Cavaliers","3-team trade with Knicks, Thunder","On 2015-01-05, Cavaliers make 3-team trade with Knicks, Thunder for J.R. Smith, and in exhchange give Alex Kirk to them."
"2015-01-05","Iman Shumpert","Dion Waiters","Cavaliers","3-team trade with Knicks, Thunder","On 2015-01-05, Cavaliers make 3-team trade with Knicks, Thunder for Iman Shumpert, and in exhchange give Dion Waiters to them."
"2015-01-05","Iman Shumpert","Lou Amundson","Cavaliers","3-team trade with Knicks, Thunder","On 2015-01-05, Cavaliers make 3-team trade with Knicks, Thunder for Iman Shumpert, and in exhchange give Lou Amundson to them."
"2015-01-05","Iman Shumpert","Alex Kirk","Cavaliers","3-team trade with Knicks, Thunder","On 2015-01-05, Cavaliers make 3-team trade with Knicks, Thunder for Iman Shumpert, and in exhchange give Alex Kirk to them."
"2015-01-05","Lance Thomas","J.R. Smith","Knicks","3-team trade with Cavaliers, Thunder","On 2015-01-05, Knicks make 3-team trade with Cavaliers, Thunder for Lance Thomas, and in exhchange give J.R. Smith to them."
"2015-01-05","Lance Thomas","Iman Shumpert","Knicks","3-team trade with Cavaliers, Thunder","On 2015-01-05, Knicks make 3-team trade with Cavaliers, Thunder for Lance Thomas, and in exhchange give Iman Shumpert to them."
"2015-01-05","Dion Waiters","Lance Thomas","Thunder","3-team trade with Cavaliers, Knicks","On 2015-01-05, Thunder make 3-team trade with Cavaliers, Knicks for Dion Waiters, and in exhchange give Lance Thomas to them."
"2015-01-07","Jared Cunningham","rights to Sergei Lishouk / Sergei Lishchuk","76ers","trade with Clippers","On 2015-01-07, 76ers make trade with Clippers for Jared Cunningham, and in exhchange give rights to Sergei Lishouk / Sergei Lishchuk to them."
"2015-01-07","rights to Cenk Akyol","rights to Sergei Lishouk / Sergei Lishchuk","76ers","trade with Clippers","On 2015-01-07, 76ers make trade with Clippers for rights to Cenk Akyol, and in exhchange give rights to Sergei Lishouk / Sergei Lishchuk to them."
"2015-01-07","cash","rights to Sergei Lishouk / Sergei Lishchuk","76ers","trade with Clippers","On 2015-01-07, 76ers make trade with Clippers for cash, and in exhchange give rights to Sergei Lishouk / Sergei Lishchuk to them."
"2015-01-12","Tayshaun Prince","Jeff Green","Celtics","3-team trade with Grizzlies, Pelicans","On 2015-01-12, Celtics make 3-team trade with Grizzlies, Pelicans for Tayshaun Prince, and in exhchange give Jeff Green to them."
"2015-01-12","Austin Rivers","Jeff Green","Celtics","3-team trade with Grizzlies, Pelicans","On 2015-01-12, Celtics make 3-team trade with Grizzlies, Pelicans for Austin Rivers, and in exhchange give Jeff Green to them."
"2015-01-12","Jeff Green","Quincy Pondexter","Grizzlies","3-team trade with Celtics, Pelicans","On 2015-01-12, Grizzlies make 3-team trade with Celtics, Pelicans for Jeff Green, and in exhchange give Quincy Pondexter to them."
"2015-01-12","Jeff Green","2015 pick (#56-Branden Dawson)","Grizzlies","3-team trade with Celtics, Pelicans","On 2015-01-12, Grizzlies make 3-team trade with Celtics, Pelicans for Jeff Green, and in exhchange give 2015 pick (#56-Branden Dawson) to them."
"2015-01-12","Russ Smith","Tayshaun Prince","Grizzlies","3-team trade with Celtics, Pelicans","On 2015-01-12, Grizzlies make 3-team trade with Celtics, Pelicans for Russ Smith, and in exhchange give Tayshaun Prince to them."
"2015-01-12","Russ Smith","Quincy Pondexter","Grizzlies","3-team trade with Celtics, Pelicans","On 2015-01-12, Grizzlies make 3-team trade with Celtics, Pelicans for Russ Smith, and in exhchange give Quincy Pondexter to them."
"2015-01-12","Russ Smith","2015 pick (#56-Branden Dawson)","Grizzlies","3-team trade with Celtics, Pelicans","On 2015-01-12, Grizzlies make 3-team trade with Celtics, Pelicans for Russ Smith, and in exhchange give 2015 pick (#56-Branden Dawson) to them."
"2015-01-12","trade exception","Tayshaun Prince","Grizzlies","3-team trade with Celtics, Pelicans","On 2015-01-12, Grizzlies make 3-team trade with Celtics, Pelicans for trade exception, and in exhchange give Tayshaun Prince to them."
"2015-01-12","trade exception","Quincy Pondexter","Grizzlies","3-team trade with Celtics, Pelicans","On 2015-01-12, Grizzlies make 3-team trade with Celtics, Pelicans for trade exception, and in exhchange give Quincy Pondexter to them."
"2015-01-12","trade exception","2015 pick (#56-Branden Dawson)","Grizzlies","3-team trade with Celtics, Pelicans","On 2015-01-12, Grizzlies make 3-team trade with Celtics, Pelicans for trade exception, and in exhchange give 2015 pick (#56-Branden Dawson) to them."
"2015-01-12","Quincy Pondexter","Austin Rivers","Pelicans","3-team trade with Celtics, Grizzlies","On 2015-01-12, Pelicans make 3-team trade with Celtics, Grizzlies for Quincy Pondexter, and in exhchange give Austin Rivers to them."
"2015-01-12","2015 pick (#56-Branden Dawson)","Austin Rivers","Pelicans","3-team trade with Celtics, Grizzlies","On 2015-01-12, Pelicans make 3-team trade with Celtics, Grizzlies for 2015 pick (#56-Branden Dawson), and in exhchange give Austin Rivers to them."
"2015-01-13","Nate Robinson","Jameer Nelson","Celtics","trade with Nuggets","On 2015-01-13, Celtics make trade with Nuggets for Nate Robinson, and in exhchange give Jameer Nelson to them."
"2015-01-15","Chris Douglas-Roberts","Austin Rivers","Celtics","3-team trade with Clippers, Suns","On 2015-01-15, Celtics make 3-team trade with Clippers, Suns for Chris Douglas-Roberts, and in exhchange give Austin Rivers to them."
"2015-01-15","Shavlik Randolph","Austin Rivers","Celtics","3-team trade with Clippers, Suns","On 2015-01-15, Celtics make 3-team trade with Clippers, Suns for Shavlik Randolph, and in exhchange give Austin Rivers to them."
"2015-01-15","2017 pick (#56-Jabari Bird)","Austin Rivers","Celtics","3-team trade with Clippers, Suns","On 2015-01-15, Celtics make 3-team trade with Clippers, Suns for 2017 pick (#56-Jabari Bird), and in exhchange give Austin Rivers to them."
"2015-01-15","Austin Rivers","Reggie Bullock","Clippers","3-team trade with Celtics, Suns","On 2015-01-15, Clippers make 3-team trade with Celtics, Suns for Austin Rivers, and in exhchange give Reggie Bullock to them."
"2015-01-15","Reggie Bullock","Shavlik Randolph","Suns","3-team trade with Celtics, Clippers","On 2015-01-15, Suns make 3-team trade with Celtics, Clippers for Reggie Bullock, and in exhchange give Shavlik Randolph to them."
"2015-02-10","Maurice Williams / Mo Williams","Gary Neal","Hornets","trade with Timberwolves","On 2015-02-10, Hornets make trade with Timberwolves for Maurice Williams / Mo Williams, and in exhchange give Gary Neal to them."
"2015-02-10","Troy Daniels","Gary Neal","Hornets","trade with Timberwolves","On 2015-02-10, Hornets make trade with Timberwolves for Troy Daniels, and in exhchange give Gary Neal to them."
"2015-02-10","cash","Gary Neal","Hornets","trade with Timberwolves","On 2015-02-10, Hornets make trade with Timberwolves for cash, and in exhchange give Gary Neal to them."
"2015-02-19","Isaiah Canaan","K.J. McDaniels","76ers","trade with Rockets","On 2015-02-19, 76ers make trade with Rockets for Isaiah Canaan, and in exhchange give K.J. McDaniels to them."
"2015-02-19","2015 pick (#37-Richaun Holmes)","K.J. McDaniels","76ers","trade with Rockets","On 2015-02-19, 76ers make trade with Rockets for 2015 pick (#37-Richaun Holmes), and in exhchange give K.J. McDaniels to them."
"2015-02-19","JaVale McGee","rights to Cenk Akyol","76ers","trade with Nuggets","On 2015-02-19, 76ers make trade with Nuggets for JaVale McGee, and in exhchange give rights to Cenk Akyol to them."
"2015-02-19","rights to rights to Chukwudiebere Maduabum / Chu Chu Maduabum","rights to Cenk Akyol","76ers","trade with Nuggets","On 2015-02-19, 76ers make trade with Nuggets for rights to rights to Chukwudiebere Maduabum / Chu Chu Maduabum, and in exhchange give rights to Cenk Akyol to them."
"2015-02-19","Arron Afflalo","Will Barton","Blazers","trade with Nuggets","On 2015-02-19, Blazers make trade with Nuggets for Arron Afflalo, and in exhchange give Will Barton to them."
"2015-02-19","Arron Afflalo","Victor Claver","Blazers","trade with Nuggets","On 2015-02-19, Blazers make trade with Nuggets for Arron Afflalo, and in exhchange give Victor Claver to them."
"2015-02-19","Arron Afflalo","Thomas Robinson","Blazers","trade with Nuggets","On 2015-02-19, Blazers make trade with Nuggets for Arron Afflalo, and in exhchange give Thomas Robinson to them."
"2015-02-19","Arron Afflalo","2016 pick (#19-Malik Beasley)","Blazers","trade with Nuggets","On 2015-02-19, Blazers make trade with Nuggets for Arron Afflalo, and in exhchange give 2016 pick (#19-Malik Beasley) to them."
"2015-02-19","Alonzo Gee","Will Barton","Blazers","trade with Nuggets","On 2015-02-19, Blazers make trade with Nuggets for Alonzo Gee, and in exhchange give Will Barton to them."
"2015-02-19","Alonzo Gee","Victor Claver","Blazers","trade with Nuggets","On 2015-02-19, Blazers make trade with Nuggets for Alonzo Gee, and in exhchange give Victor Claver to them."
"2015-02-19","Alonzo Gee","Thomas Robinson","Blazers","trade with Nuggets","On 2015-02-19, Blazers make trade with Nuggets for Alonzo Gee, and in exhchange give Thomas Robinson to them."
"2015-02-19","Alonzo Gee","2016 pick (#19-Malik Beasley)","Blazers","trade with Nuggets","On 2015-02-19, Blazers make trade with Nuggets for Alonzo Gee, and in exhchange give 2016 pick (#19-Malik Beasley) to them."
"2015-02-19","Isaiah Thomas","Marcus Thornton (T.)","Celtics","trade with Suns","On 2015-02-19, Celtics make trade with Suns for Isaiah Thomas, and in exhchange give Marcus Thornton (T.) to them."
"2015-02-19","Luigi Datome / Gigi Datome","Tayshaun Prince","Celtics","trade with Pistons","On 2015-02-19, Celtics make trade with Pistons for Luigi Datome / Gigi Datome, and in exhchange give Tayshaun Prince to them."
"2015-02-19","Jonas Jerebko","Tayshaun Prince","Celtics","trade with Pistons","On 2015-02-19, Celtics make trade with Pistons for Jonas Jerebko, and in exhchange give Tayshaun Prince to them."
"2015-02-19","Andre Miller","Ramon Sessions","Kings","trade with Wizards","On 2015-02-19, Kings make trade with Wizards for Andre Miller, and in exhchange give Ramon Sessions to them."
"2015-02-19","Alexey Shved","Pablo Prigioni","Knicks","trade with Rockets","On 2015-02-19, Knicks make trade with Rockets for Alexey Shved, and in exhchange give Pablo Prigioni to them."
"2015-02-19","2017 pick (#58-Ognjen Jaramaz)","Pablo Prigioni","Knicks","trade with Rockets","On 2015-02-19, Knicks make trade with Rockets for 2017 pick (#58-Ognjen Jaramaz), and in exhchange give Pablo Prigioni to them."
"2015-02-19","Thaddeus Young","Kevin Garnett","Nets","trade with Timberwolves","On 2015-02-19, Nets make trade with Timberwolves for Thaddeus Young, and in exhchange give Kevin Garnett to them."
"2015-02-19","Michael Carter-Williams","Brandon Knight","Bucks","3-team trade with 76ers, Suns","On 2015-02-19, Bucks make 3-team trade with 76ers, Suns for Michael Carter-Williams, and in exhchange give Brandon Knight to them."
"2015-02-19","Michael Carter-Williams","Kendall Marshall","Bucks","3-team trade with 76ers, Suns","On 2015-02-19, Bucks make 3-team trade with 76ers, Suns for Michael Carter-Williams, and in exhchange give Kendall Marshall to them."
"2015-02-19","Tyler Ennis","Brandon Knight","Bucks","3-team trade with 76ers, Suns","On 2015-02-19, Bucks make 3-team trade with 76ers, Suns for Tyler Ennis, and in exhchange give Brandon Knight to them."
"2015-02-19","Tyler Ennis","Kendall Marshall","Bucks","3-team trade with 76ers, Suns","On 2015-02-19, Bucks make 3-team trade with 76ers, Suns for Tyler Ennis, and in exhchange give Kendall Marshall to them."
"2015-02-19","Miles Plumlee","Brandon Knight","Bucks","3-team trade with 76ers, Suns","On 2015-02-19, Bucks make 3-team trade with 76ers, Suns for Miles Plumlee, and in exhchange give Brandon Knight to them."
"2015-02-19","Miles Plumlee","Kendall Marshall","Bucks","3-team trade with 76ers, Suns","On 2015-02-19, Bucks make 3-team trade with 76ers, Suns for Miles Plumlee, and in exhchange give Kendall Marshall to them."
"2015-02-19","Goran Dragic","Danny Granger","Heat","3-team trade with Pelicans, Suns","On 2015-02-19, Heat make 3-team trade with Pelicans, Suns for Goran Dragic, and in exhchange give Danny Granger to them."
"2015-02-19","Goran Dragic","Norris Cole (a)","Heat","3-team trade with Pelicans, Suns","On 2015-02-19, Heat make 3-team trade with Pelicans, Suns for Goran Dragic, and in exhchange give Norris Cole (a) to them."
"2015-02-19","Goran Dragic","Justin Hamilton (b)","Heat","3-team trade with Pelicans, Suns","On 2015-02-19, Heat make 3-team trade with Pelicans, Suns for Goran Dragic, and in exhchange give Justin Hamilton (b) to them."
"2015-02-19","Goran Dragic","Shawne Williams","Heat","3-team trade with Pelicans, Suns","On 2015-02-19, Heat make 3-team trade with Pelicans, Suns for Goran Dragic, and in exhchange give Shawne Williams to them."
"2015-02-19","Zoran Dragic","Danny Granger","Heat","3-team trade with Pelicans, Suns","On 2015-02-19, Heat make 3-team trade with Pelicans, Suns for Zoran Dragic, and in exhchange give Danny Granger to them."
"2015-02-19","Zoran Dragic","Norris Cole (a)","Heat","3-team trade with Pelicans, Suns","On 2015-02-19, Heat make 3-team trade with Pelicans, Suns for Zoran Dragic, and in exhchange give Norris Cole (a) to them."
"2015-02-19","Zoran Dragic","Justin Hamilton (b)","Heat","3-team trade with Pelicans, Suns","On 2015-02-19, Heat make 3-team trade with Pelicans, Suns for Zoran Dragic, and in exhchange give Justin Hamilton (b) to them."
"2015-02-19","Zoran Dragic","Shawne Williams","Heat","3-team trade with Pelicans, Suns","On 2015-02-19, Heat make 3-team trade with Pelicans, Suns for Zoran Dragic, and in exhchange give Shawne Williams to them."
"2015-02-19","Grant Jerrett","Enes Kanter","Jazz","3-team trade with Pistons, Thunder","On 2015-02-19, Jazz make 3-team trade with Pistons, Thunder for Grant Jerrett, and in exhchange give Enes Kanter to them."
"2015-02-19","Grant Jerrett","Steve Novak","Jazz","3-team trade with Pistons, Thunder","On 2015-02-19, Jazz make 3-team trade with Pistons, Thunder for Grant Jerrett, and in exhchange give Steve Novak to them."
"2015-02-19","Kendrick Perkins","Enes Kanter","Jazz","3-team trade with Pistons, Thunder","On 2015-02-19, Jazz make 3-team trade with Pistons, Thunder for Kendrick Perkins, and in exhchange give Enes Kanter to them."
"2015-02-19","Kendrick Perkins","Steve Novak","Jazz","3-team trade with Pistons, Thunder","On 2015-02-19, Jazz make 3-team trade with Pistons, Thunder for Kendrick Perkins, and in exhchange give Steve Novak to them."
"2015-02-19","rights to Tibor Pleiss","Enes Kanter","Jazz","3-team trade with Pistons, Thunder","On 2015-02-19, Jazz make 3-team trade with Pistons, Thunder for rights to Tibor Pleiss, and in exhchange give Enes Kanter to them."
"2015-02-19","rights to Tibor Pleiss","Steve Novak","Jazz","3-team trade with Pistons, Thunder","On 2015-02-19, Jazz make 3-team trade with Pistons, Thunder for rights to Tibor Pleiss, and in exhchange give Steve Novak to them."
"2015-02-19","2017 pick (#42-Thomas Bryant)","Enes Kanter","Jazz","3-team trade with Pistons, Thunder","On 2015-02-19, Jazz make 3-team trade with Pistons, Thunder for 2017 pick (#42-Thomas Bryant), and in exhchange give Enes Kanter to them."
"2015-02-19","2017 pick (#42-Thomas Bryant)","Steve Novak","Jazz","3-team trade with Pistons, Thunder","On 2015-02-19, Jazz make 3-team trade with Pistons, Thunder for 2017 pick (#42-Thomas Bryant), and in exhchange give Steve Novak to them."
"2015-02-19","Norris Cole (a)","John Salmons","Pelicans","3-team trade with Heat, Suns","On 2015-02-19, Pelicans make 3-team trade with Heat, Suns for Norris Cole (a), and in exhchange give John Salmons to them."
"2015-02-19","Justin Hamilton (b)","John Salmons","Pelicans","3-team trade with Heat, Suns","On 2015-02-19, Pelicans make 3-team trade with Heat, Suns for Justin Hamilton (b), and in exhchange give John Salmons to them."
"2015-02-19","Shawne Williams","John Salmons","Pelicans","3-team trade with Heat, Suns","On 2015-02-19, Pelicans make 3-team trade with Heat, Suns for Shawne Williams, and in exhchange give John Salmons to them."
"2015-02-19","Reggie Jackson (b)","D.J. Augustin","Pistons","3-team trade with Jazz, Thunder","On 2015-02-19, Pistons make 3-team trade with Jazz, Thunder for Reggie Jackson (b), and in exhchange give D.J. Augustin to them."
"2015-02-19","Reggie Jackson (b)","Kyle Singler","Pistons","3-team trade with Jazz, Thunder","On 2015-02-19, Pistons make 3-team trade with Jazz, Thunder for Reggie Jackson (b), and in exhchange give Kyle Singler to them."
"2015-02-19","Reggie Jackson (b)","2017 pick (#42-Thomas Bryant)","Pistons","3-team trade with Jazz, Thunder","On 2015-02-19, Pistons make 3-team trade with Jazz, Thunder for Reggie Jackson (b), and in exhchange give 2017 pick (#42-Thomas Bryant) to them."
"2015-02-19","John Salmons","Goran Dragic","Suns","3-team trade with Heat, Pelicans","On 2015-02-19, Suns make 3-team trade with Heat, Pelicans for John Salmons, and in exhchange give Goran Dragic to them."
"2015-02-19","John Salmons","Zoran Dragic","Suns","3-team trade with Heat, Pelicans","On 2015-02-19, Suns make 3-team trade with Heat, Pelicans for John Salmons, and in exhchange give Zoran Dragic to them."
"2015-02-19","D.J. Augustin","Kendrick Perkins","Thunder","3-team trade with Jazz, Pistons","On 2015-02-19, Thunder make 3-team trade with Jazz, Pistons for D.J. Augustin, and in exhchange give Kendrick Perkins to them."
"2015-02-19","D.J. Augustin","Grant Jerrett","Thunder","3-team trade with Jazz, Pistons","On 2015-02-19, Thunder make 3-team trade with Jazz, Pistons for D.J. Augustin, and in exhchange give Grant Jerrett to them."
"2015-02-19","D.J. Augustin","rights to Tibor Pleiss","Thunder","3-team trade with Jazz, Pistons","On 2015-02-19, Thunder make 3-team trade with Jazz, Pistons for D.J. Augustin, and in exhchange give rights to Tibor Pleiss to them."
"2015-02-19","D.J. Augustin","2017 pick (#20-Josh Okogie)","Thunder","3-team trade with Jazz, Pistons","On 2015-02-19, Thunder make 3-team trade with Jazz, Pistons for D.J. Augustin, and in exhchange give 2017 pick (#20-Josh Okogie) to them."
"2015-02-19","Enes Kanter","Reggie Jackson (b)","Thunder","3-team trade with Jazz, Pistons","On 2015-02-19, Thunder make 3-team trade with Jazz, Pistons for Enes Kanter, and in exhchange give Reggie Jackson (b) to them."
"2015-02-19","Enes Kanter","2017 pick (#20-Josh Okogie)","Thunder","3-team trade with Jazz, Pistons","On 2015-02-19, Thunder make 3-team trade with Jazz, Pistons for Enes Kanter, and in exhchange give 2017 pick (#20-Josh Okogie) to them."
"2015-02-19","Steve Novak","Reggie Jackson (b)","Thunder","3-team trade with Jazz, Pistons","On 2015-02-19, Thunder make 3-team trade with Jazz, Pistons for Steve Novak, and in exhchange give Reggie Jackson (b) to them."
"2015-02-19","Steve Novak","2017 pick (#20-Josh Okogie)","Thunder","3-team trade with Jazz, Pistons","On 2015-02-19, Thunder make 3-team trade with Jazz, Pistons for Steve Novak, and in exhchange give 2017 pick (#20-Josh Okogie) to them."
"2015-02-19","Kyle Singler","Kendrick Perkins","Thunder","3-team trade with Jazz, Pistons","On 2015-02-19, Thunder make 3-team trade with Jazz, Pistons for Kyle Singler, and in exhchange give Kendrick Perkins to them."
"2015-02-19","Kyle Singler","Grant Jerrett","Thunder","3-team trade with Jazz, Pistons","On 2015-02-19, Thunder make 3-team trade with Jazz, Pistons for Kyle Singler, and in exhchange give Grant Jerrett to them."
"2015-02-19","Kyle Singler","rights to Tibor Pleiss","Thunder","3-team trade with Jazz, Pistons","On 2015-02-19, Thunder make 3-team trade with Jazz, Pistons for Kyle Singler, and in exhchange give rights to Tibor Pleiss to them."
"2015-02-19","Kyle Singler","2017 pick (#20-Josh Okogie)","Thunder","3-team trade with Jazz, Pistons","On 2015-02-19, Thunder make 3-team trade with Jazz, Pistons for Kyle Singler, and in exhchange give 2017 pick (#20-Josh Okogie) to them."
"2015-06-11","Caron Butler","Ersan Ilyasova","Bucks","trade with Pistons","On 2015-06-11, Bucks make trade with Pistons for Caron Butler, and in exhchange give Ersan Ilyasova to them."
"2015-06-11","Shawne Williams","Ersan Ilyasova","Bucks","trade with Pistons","On 2015-06-11, Bucks make trade with Pistons for Shawne Williams, and in exhchange give Ersan Ilyasova to them."
"2015-06-15","Lance Stephenson","Spencer Hawes","Clippers","trade with Hornets","On 2015-06-15, Clippers make trade with Hornets for Lance Stephenson, and in exhchange give Spencer Hawes to them."
"2015-06-15","Lance Stephenson","Matt Barnes","Clippers","trade with Hornets","On 2015-06-15, Clippers make trade with Hornets for Lance Stephenson, and in exhchange give Matt Barnes to them."
"2015-06-24","Gerald Henderson (b)","Nicolas Batum","Blazers","trade with Hornets","On 2015-06-24, Blazers make trade with Hornets for Gerald Henderson (b), and in exhchange give Nicolas Batum to them."
"2015-06-24","Noah Vonleh","Nicolas Batum","Blazers","trade with Hornets","On 2015-06-24, Blazers make trade with Hornets for Noah Vonleh, and in exhchange give Nicolas Batum to them."
"2015-06-24","Luke Ridnour","rights to Janis Timma","Grizzlies","trade with Magic","On 2015-06-24, Grizzlies make trade with Magic for Luke Ridnour, and in exhchange give rights to Janis Timma to them."
"2015-06-25","cash","rights to Guillermo Hernangomez / Willy Hernangomez","76ers","trade with Knicks","On 2015-06-25, 76ers make trade with Knicks for cash, and in exhchange give rights to Guillermo Hernangomez / Willy Hernangomez to them."
"2015-06-25","Matt Barnes","Luke Ridnour","Grizzlies","trade with Hornets","On 2015-06-25, Grizzlies make trade with Hornets for Matt Barnes, and in exhchange give Luke Ridnour to them."
"2015-06-25","Jeremy Lamb","Luke Ridnour","Hornets","trade with Thunder","On 2015-06-25, Hornets make trade with Thunder for Jeremy Lamb, and in exhchange give Luke Ridnour to them."
"2015-06-25","Mason Plumlee","Steve Blake","Blazers","trade with Nets","On 2015-06-25, Blazers make trade with Nets for Mason Plumlee, and in exhchange give Steve Blake to them."
"2015-06-25","Mason Plumlee","rights to Rondae Hollis-Jefferson","Blazers","trade with Nets","On 2015-06-25, Blazers make trade with Nets for Mason Plumlee, and in exhchange give rights to Rondae Hollis-Jefferson to them."
"2015-06-25","rights to Pat Connaughton","Steve Blake","Blazers","trade with Nets","On 2015-06-25, Blazers make trade with Nets for rights to Pat Connaughton, and in exhchange give Steve Blake to them."
"2015-06-25","rights to Pat Connaughton","rights to Rondae Hollis-Jefferson","Blazers","trade with Nets","On 2015-06-25, Blazers make trade with Nets for rights to Pat Connaughton, and in exhchange give rights to Rondae Hollis-Jefferson to them."
"2015-06-25","rights to Daniel Diez","cash","Blazers","trade with Jazz","On 2015-06-25, Blazers make trade with Jazz for rights to Daniel Diez, and in exhchange give cash to them."
"2015-06-25","Greivis Vasquez","rights to Norman Powell","Bucks","trade with Raptors","On 2015-06-25, Bucks make trade with Raptors for Greivis Vasquez, and in exhchange give rights to Norman Powell to them."
"2015-06-25","rights to Cedi Osman","rights to Tyus Jones","Cavaliers","trade with Timberwolves","On 2015-06-25, Cavaliers make trade with Timberwolves for rights to Cedi Osman, and in exhchange give rights to Tyus Jones to them."
"2015-06-25","rights to Rakeem Christmas","rights to Tyus Jones","Cavaliers","trade with Timberwolves","On 2015-06-25, Cavaliers make trade with Timberwolves for rights to Rakeem Christmas, and in exhchange give rights to Tyus Jones to them."
"2015-06-25","rights to Branden Dawson","cash","Clippers","trade with Pelicans","On 2015-06-25, Clippers make trade with Pelicans for rights to Branden Dawson, and in exhchange give cash to them."
"2015-06-25","rights to Andrew Harrison","Jon Leuer","Grizzlies","trade with Suns","On 2015-06-25, Grizzlies make trade with Suns for rights to Andrew Harrison, and in exhchange give Jon Leuer to them."
"2015-06-25","Tim Hardaway Jr.","rights to Kelly Oubre Jr.","Hawks","3-team trade with Knicks, Wizards","On 2015-06-25, Hawks make 3-team trade with Knicks, Wizards for Tim Hardaway Jr., and in exhchange give rights to Kelly Oubre Jr. to them."
"2015-06-25","2016 pick (#44-Isaia Cordinier)","rights to Kelly Oubre Jr.","Hawks","3-team trade with Knicks, Wizards","On 2015-06-25, Hawks make 3-team trade with Knicks, Wizards for 2016 pick (#44-Isaia Cordinier), and in exhchange give rights to Kelly Oubre Jr. to them."
"2015-06-25","2018 pick (#55-Arnoldas Kulboka)","rights to Juan Vaulet / Juan Pablo Vaulet","Hornets","trade with Nets","On 2015-06-25, Hornets make trade with Nets for 2018 pick (#55-Arnoldas Kulboka), and in exhchange give rights to Juan Vaulet / Juan Pablo Vaulet to them."
"2015-06-25","cash","rights to Juan Vaulet / Juan Pablo Vaulet","Hornets","trade with Nets","On 2015-06-25, Hornets make trade with Nets for cash, and in exhchange give rights to Juan Vaulet / Juan Pablo Vaulet to them."
"2015-06-25","rights to Jerian Grant","Tim Hardaway Jr.","Knicks","3-team trade with Hawks, Wizards","On 2015-06-25, Knicks make 3-team trade with Hawks, Wizards for rights to Jerian Grant, and in exhchange give Tim Hardaway Jr. to them."
"2015-06-25","rights to Kelly Oubre Jr.","rights to Jerian Grant","Wizards","3-team trade with Hawks, Knicks","On 2015-06-25, Wizards make 3-team trade with Hawks, Knicks for rights to Kelly Oubre Jr., and in exhchange give rights to Jerian Grant to them."
"2015-06-30","Luke Ridnour","rights to Tomislav Zubcic","Raptors","trade with Thunder","On 2015-06-30, Raptors make trade with Thunder for Luke Ridnour, and in exhchange give rights to Tomislav Zubcic to them."
"2015-06-30","Luke Ridnour","trade exception","Raptors","trade with Thunder","On 2015-06-30, Raptors make trade with Thunder for Luke Ridnour, and in exhchange give trade exception to them."
"2015-06-30","cash","rights to Tomislav Zubcic","Raptors","trade with Thunder","On 2015-06-30, Raptors make trade with Thunder for cash, and in exhchange give rights to Tomislav Zubcic to them."
"2015-06-30","cash","trade exception","Raptors","trade with Thunder","On 2015-06-30, Raptors make trade with Thunder for cash, and in exhchange give trade exception to them."
"2015-07-09","Nik Stauskas","rights to Arturas Gudaitis","76ers","trade with Kings","On 2015-07-09, 76ers make trade with Kings for Nik Stauskas, and in exhchange give rights to Arturas Gudaitis to them."
"2015-07-09","Nik Stauskas","rights to Luka Mitrovic","76ers","trade with Kings","On 2015-07-09, 76ers make trade with Kings for Nik Stauskas, and in exhchange give rights to Luka Mitrovic to them."
"2015-07-09","Nik Stauskas","2017 pick (#5-De'Aaron Fox)","76ers","trade with Kings","On 2015-07-09, 76ers make trade with Kings for Nik Stauskas, and in exhchange give 2017 pick (#5-De'Aaron Fox) to them."
"2015-07-09","Jason Thompson","rights to Arturas Gudaitis","76ers","trade with Kings","On 2015-07-09, 76ers make trade with Kings for Jason Thompson, and in exhchange give rights to Arturas Gudaitis to them."
"2015-07-09","Jason Thompson","rights to Luka Mitrovic","76ers","trade with Kings","On 2015-07-09, 76ers make trade with Kings for Jason Thompson, and in exhchange give rights to Luka Mitrovic to them."
"2015-07-09","Jason Thompson","2017 pick (#5-De'Aaron Fox)","76ers","trade with Kings","On 2015-07-09, 76ers make trade with Kings for Jason Thompson, and in exhchange give 2017 pick (#5-De'Aaron Fox) to them."
"2015-07-09","Carl Landry","rights to Arturas Gudaitis","76ers","trade with Kings","On 2015-07-09, 76ers make trade with Kings for Carl Landry, and in exhchange give rights to Arturas Gudaitis to them."
"2015-07-09","Carl Landry","rights to Luka Mitrovic","76ers","trade with Kings","On 2015-07-09, 76ers make trade with Kings for Carl Landry, and in exhchange give rights to Luka Mitrovic to them."
"2015-07-09","Carl Landry","2017 pick (#5-De'Aaron Fox)","76ers","trade with Kings","On 2015-07-09, 76ers make trade with Kings for Carl Landry, and in exhchange give 2017 pick (#5-De'Aaron Fox) to them."
"2015-07-09","2017 pick (#3-Jayson Tatum)","rights to Arturas Gudaitis","76ers","trade with Kings","On 2015-07-09, 76ers make trade with Kings for 2017 pick (#3-Jayson Tatum), and in exhchange give rights to Arturas Gudaitis to them."
