"key","date","to","from","action_team","notes","edge_label","pick_involved","rights_involved","teams_involved"
"free agencyTyler Ennis","2018-06-28","free agency","Tyler Ennis","Lakers","waived","On 2018-06-28, Tyler Ennis becomes a free agent from Lakers",FALSE,FALSE,NA
"free agencyIsaiah Taylor","2018-06-30","free agency","Isaiah Taylor","Hawks","waived","On 2018-06-30, Isaiah Taylor becomes a free agent from Hawks",FALSE,FALSE,NA
"free agencyThomas Bryant","2018-06-30","free agency","Thomas Bryant","Lakers","waived","On 2018-06-30, Thomas Bryant becomes a free agent from Lakers",FALSE,FALSE,NA
"free agencyTyler Ulis","2018-06-30","free agency","Tyler Ulis","Suns","waived","On 2018-06-30, Tyler Ulis becomes a free agent from Suns",FALSE,FALSE,NA
"Cole Aldrichfree agency","2018-06-30","free agency","Cole Aldrich","Timberwolves","waived","On 2018-06-30, Cole Aldrich becomes a free agent from Timberwolves",FALSE,FALSE,NA
"free agencyJaylen Adams","2018-07-01","Jaylen Adams","free agency","Hawks","signed free agent to a two way contract","On 2018-07-01, Jaylen Adams is signed free agent to a two way contract by Hawks",FALSE,FALSE,"Hawks"
"free agencyMalik Newman","2018-07-01","Malik Newman","free agency","Lakers","signed free agent to a two way contract","On 2018-07-01, Malik Newman is signed free agent to a two way contract by Lakers",FALSE,FALSE,"Lakers"
"Brad Wanamakerfree agency","2018-07-02","Brad Wanamaker","free agency","Celtics","signed free agent to a 1-year, $838K contract","On 2018-07-02, Brad Wanamaker is signed free agent to a 1-year, $838K contract by Celtics",FALSE,FALSE,"Celtics"
"free agencyJ.P. Macura","2018-07-02","J.P. Macura","free agency","Hornets","signed free agent to a two way contract","On 2018-07-02, J.P. Macura is signed free agent to a two way contract by Hornets",FALSE,FALSE,"Hornets"
"Al Jeffersonfree agency","2018-07-02","free agency","Al Jefferson","Pacers","waived","On 2018-07-02, Al Jefferson becomes a free agent from Pacers",FALSE,FALSE,NA
"Alan Williamsfree agency","2018-07-02","free agency","Alan Williams","Suns","waived","On 2018-07-02, Alan Williams becomes a free agent from Suns",FALSE,FALSE,NA
"Allonzo Trierfree agency","2018-07-03","Allonzo Trier","free agency","Knicks","signed free agent to a two way contract","On 2018-07-03, Allonzo Trier is signed free agent to a two way contract by Knicks",FALSE,FALSE,"Knicks"
"free agencyNik Stauskas","2018-07-05","Nik Stauskas","free agency","Blazers","signed unrestricted free agent to a 1-year, $1.6M contract","On 2018-07-05, Nik Stauskas is signed unrestricted free agent to a 1-year, $1.6M contract by Blazers",FALSE,FALSE,NA
"Angel Delgadofree agency","2018-07-05","Angel Delgado","free agency","Clippers","signed free agent to a two way contract","On 2018-07-05, Angel Delgado is signed free agent to a two way contract by Clippers",FALSE,FALSE,"Clippers"
"free agencyGary Clark (b","2018-07-05","Gary Clark (b","free agency","Rockets","signed free agent","On 2018-07-05, Gary Clark (b) is signed free agent by Rockets",FALSE,FALSE,"Rockets"
"free agencyJared Terrell","2018-07-05","Jared Terrell","free agency","Timberwolves","signed free agent to a two way contract","On 2018-07-05, Jared Terrell is signed free agent to a two way contract by Timberwolves",FALSE,FALSE,"Timberwolves"
"cashWilson Chandler","2018-07-06","Wilson Chandler","cash","76ers","trade with Nuggets","On 2018-07-06, 76ers make trade with Nuggets for Wilson Chandler, and in exhchange give cash to them.",FALSE,FALSE,"76ers, Nuggets"
"free agencySeth Curry","2018-07-06","Seth Curry","free agency","Blazers","signed unrestricted free agent to a 2-year, $5.6M contract","On 2018-07-06, Seth Curry is signed unrestricted free agent to a 2-year, $5.6M contract by Blazers",FALSE,FALSE,NA
"Billy Prestonfree agency","2018-07-06","Billy Preston","free agency","Cavaliers","signed free agent to a two way contract","On 2018-07-06, Billy Preston is signed free agent to a two way contract by Cavaliers",FALSE,FALSE,"Cavaliers"
"free agencyMario Hezonja","2018-07-06","Mario Hezonja","free agency","Knicks","signed unrestricted free agent to a 1-year, $6.5M contract","On 2018-07-06, Mario Hezonja is signed unrestricted free agent to a 1-year, $6.5M contract by Knicks",FALSE,FALSE,NA
"free agencyRajon Rondo","2018-07-06","Rajon Rondo","free agency","Lakers","signed unrestricted free agent to a 1-year, $9M contract","On 2018-07-06, Rajon Rondo is signed unrestricted free agent to a 1-year, $9M contract by Lakers",FALSE,FALSE,NA
"free agencyIsaiah Briscoe","2018-07-06","Isaiah Briscoe","free agency","Magic","signed free agent to a 4-year, $6M contract","On 2018-07-06, Isaiah Briscoe is signed free agent to a 4-year, $6M contract by Magic",FALSE,FALSE,"Magic"
